Date,Post-implant day,Block number,Number of sentences,Corpus,Split
2023-11-17,123,3,50,Freq words,Val/Test
2023-11-19,125,2,50,Freq words,Train
2023-11-19,125,3,10,Freq words,Train
2023-11-19,125,4,40,Freq words,Val/Test
2023-11-26,132,1,25,Freq words,Train
2023-11-26,132,2,24,Freq words,Train
2023-11-26,132,3,49,Freq words,Train
2023-11-26,132,5,50,Freq words,Train
2023-11-26,132,6,50,Freq words,Train
2023-11-26,132,7,39,Random,Val/Test
2023-11-26,132,9,50,Freq words,Val/Test
2023-12-03,139,1,50,Freq words,Train
2023-12-03,139,2,30,Freq words,Train
2023-12-03,139,4,48,Switchboard,Val/Test
2023-12-03,139,5,49,Freq words,Train
2023-12-03,139,6,49,Freq words,Train
2023-12-03,139,7,50,Freq words,Train
2023-12-03,139,8,20,Freq words,Val/Test
2023-12-08,144,1,50,Freq words,Train
2023-12-08,144,2,20,Freq words,Train
2023-12-08,144,3,10,Freq words,Train
2023-12-08,144,4,20,Freq words,Train
2023-12-08,144,6,50,Freq words,Train
2023-12-08,144,7,49,Freq words,Train
2023-12-08,144,8,50,Freq words,Val/Test
2023-12-08,144,9,50,Freq words,Val/Test
2023-12-10,146,1,50,Freq words,Train
2023-12-10,146,3,50,Freq words,Train
2023-12-10,146,6,50,Freq words,Train
2023-12-10,146,7,50,Freq words,Val/Test
2023-12-17,153,1,50,Freq words,Train
2023-12-17,153,2,50,Freq words,Train
2023-12-17,153,10,35,Freq words,Train
2023-12-17,153,11,50,Freq words,Val/Test
2023-12-29,165,1,50,Freq words,Train
2023-12-29,165,2,50,Freq words,Train
2023-12-29,165,3,48,Freq words,Train
2023-12-29,165,4,50,Switchboard,Val/Test
2023-12-29,165,5,50,Freq words,Val/Test
2023-12-29,165,7,50,Freq words,Train
2024-02-25,223,1,49,Switchboard,Train
2024-02-25,223,3,47,Switchboard,Train
2024-02-25,223,4,50,Switchboard,Train
2024-02-25,223,5,47,Switchboard,Train
2024-02-25,223,6,47,Switchboard,Val/Test
2024-03-03,230,1,19,Switchboard,Train
2024-03-03,230,3,50,50-Word,Train
2024-03-03,230,6,50,50-Word,Train
2024-03-03,230,11,50,50-Word,Train
2024-03-03,230,13,50,50-Word,Train
2024-03-08,235,1,18,Switchboard,Train
2024-03-08,235,3,48,Switchboard,Train
2024-03-08,235,6,48,Switchboard,Train
2024-03-08,235,7,49,Switchboard,Train
2024-03-08,235,8,49,Switchboard,Val/Test
2024-03-15,242,1,49,Switchboard,Train
2024-03-15,242,3,50,Switchboard,Train
2024-03-15,242,4,47,Switchboard,Train
2024-03-15,242,5,48,Switchboard,Train
2024-03-15,242,6,37,Switchboard,Train
2024-03-15,242,7,49,Switchboard,Val/Test
2024-03-15,242,9,49,Switchboard,Val/Test
2024-03-17,244,1,50,Switchboard,Train
2024-03-17,244,3,49,Switchboard,Train
2024-03-17,244,4,48,Switchboard,Train
2024-03-17,244,5,50,Switchboard,Train
2024-03-17,244,6,47,Switchboard,Val/Test
2024-03-17,244,7,50,Switchboard,Val/Test
2024-03-17,244,8,49,Switchboard,Train
2024-04-25,283,2,14,Switchboard,Train
2024-04-25,283,4,50,50-Word,Train
2024-04-25,283,5,50,50-Word,Train
2024-04-25,283,7,50,50-Word,Train
2024-04-25,283,9,50,50-Word,Train
2024-04-25,283,11,50,50-Word,Train
2024-04-25,283,12,50,50-Word,Train
2024-04-25,283,14,50,50-Word,Train
2024-04-28,286,1,50,50-Word,Train
2024-04-28,286,2,50,50-Word,Train
2024-04-28,286,10,50,50-Word,Train
2024-05-10,298,1,10,Switchboard,Train
2024-05-10,298,5,50,Switchboard,Train
2024-05-10,298,6,50,Switchboard,Train
2024-05-10,298,7,50,Switchboard,Val/Test
2024-06-14,333,1,10,Switchboard,Train
2024-06-14,333,9,20,Switchboard,Train
2024-06-14,333,11,50,Switchboard,Train
2024-06-14,333,12,50,Switchboard,Val/Test
2024-07-19,368,1,10,Switchboard,Train
2024-07-19,368,4,15,Switchboard,Train
2024-07-19,368,6,50,Switchboard,Train
2024-07-19,368,7,48,Switchboard,Train
2024-07-19,368,8,47,Switchboard,Train
2024-07-19,368,9,48,Switchboard,Val/Test
2024-07-19,368,10,49,Switchboard,Val/Test
2024-07-21,370,1,20,Switchboard,Train
2024-07-21,370,3,46,Switchboard,Train
2024-07-21,370,4,46,Switchboard,Train
2024-07-21,370,5,49,Switchboard,Train
2024-07-21,370,6,50,Switchboard,Val/Test
2024-07-21,370,7,47,Switchboard,Val/Test
2024-07-28,377,1,15,Switchboard,Train
2024-07-28,377,3,49,Switchboard,Train
2024-07-28,377,4,49,Switchboard,Train
2024-07-28,377,5,50,Switchboard,Train
2024-07-28,377,6,49,Switchboard,Val/Test
2024-07-28,377,7,48,Switchboard,Val/Test
2025-01-10,543,1,20,Switchboard,Train
2025-01-10,543,5,49,Switchboard,Train
2025-01-10,543,7,47,Switchboard,Train
2025-01-10,543,8,47,Switchboard,Val/Test
2025-01-12,545,1,20,Switchboard,Train
2025-01-12,545,3,50,Switchboard,Train
2025-01-12,545,4,48,Switchboard,Train
2025-01-12,545,5,50,Switchboard,Train
2025-01-12,545,6,48,Switchboard,Val/Test
2025-01-12,545,7,47,Switchboard,Val/Test
2025-03-14,606,2,10,Switchboard,Train
2025-03-14,606,4,25,Switchboard,Val/Test
2025-03-14,606,6,25,Switchboard,Val/Test
2025-03-14,606,7,25,Switchboard,Train
2025-03-14,606,8,24,Switchboard,Train
2025-03-16,608,1,19,Switchboard,Train
2025-03-16,608,3,50,Switchboard,Train
2025-03-16,608,4,49,Switchboard,Train
2025-03-16,608,5,48,Switchboard,Val/Test
2025-03-30,622,3,20,Switchboard,Train
2025-03-30,622,6,48,Switchboard,Train
2025-03-30,622,8,48,Switchboard,Train
2025-03-30,622,10,47,Switchboard,Val/Test
2025-03-30,622,12,49,Switchboard,Train
2025-03-30,622,13,48,Switchboard,Val/Test
2025-04-13,636,2,20,Switchboard,Train
2025-04-13,636,7,50,Switchboard,Train
2025-04-13,636,8,50,Switchboard,Val/Test
